ticket_id,date_submitted,customer_id,category,subcategory,priority,status,agent_assigned,resolution_time_hours,satisfaction_score,ticket_description,resolution_notes
TKT-001,2024-01-03,CUST-4421,Model Output,Hallucination,High,Resolved,Sarah J.,4.5,3,"Model is giving completely wrong answers about our product inventory. It's saying we have items in stock that we discontinued 6 months ago.",Refreshed knowledge base with updated product catalogue. Customer advised to implement periodic retraining schedule.
TKT-002,2024-01-04,CUST-2891,Integration,API Timeout,,Resolved,Marcus T.,2.0,5,"API calls timing out after 30 seconds when processing large batches","Increased timeout limit. Recommended async processing for batches >100 items."
TKT-003,2024-01-04,CUST-3310,Billing,Overage Charges,Low,Resolved,Priya K.,1.0,4,Being charged for API calls that returned errors. Shouldn't be billed for failed calls.,Credits applied. Bug escalated to billing team.
TKT-004,2024-01-05,CUST-4421,Model Output,Inconsistency,High,Resolved,Sarah J.,6.0,2,"Same question asked twice gets two different answers. This is unacceptable for our compliance use case. We need deterministic outputs.",Explained temperature settings. Customer set temp=0 but flagged that determinism not fully guaranteed at scale. Escalated to product team.
TKT-005,2024-01-07,CUST-1155,Performance,Latency,Medium,Resolved,Marcus T.,3.5,4,Response times have doubled in the last week without any changes on our end,,
TKT-006,2024-01-08,CUST-5502,,API Error,,Open,,,,"Getting 429 errors constantly. We're well within our rate limits according to our dashboard.",
TKT-007,2024-01-08,CUST-2234,Model Output,Bias,High,Escalated,Priya K.,,"Model responses show different behaviour depending on whether names in prompts appear to be male or female. This is a serious issue for our HR application.",Confirmed bias patterns in testing. Escalated to model team. Customer offered interim mitigation strategies.
TKT-008,2024-01-09,CUST-6671,Integration,Webhook,Low,Resolved,Tom W.,1.5,5,Webhooks not firing when job completes,Missing trailing slash in endpoint URL. Customer updated config.
TKT-009,2024-01-10,CUST-3310,Model Output,Hallucination,High,Resolved,Sarah J.,8.0,1,"Model is confidently citing sources that don't exist. Our legal team is furious. We deployed this for contract review and it fabricated three case references.",Added explicit instructions to only cite provided documents. Recommended retrieval-augmented approach. Customer very unhappy with initial deployment guidance.
TKT-010,2024-01-10,CUST-4892,Billing,,Low,Resolved,Priya K.,0.5,5,How do I download my invoice?,Sent invoice download instructions.
TKT-011,2024-01-11,CUST-1155,Performance,Latency,Medium,Resolved,Marcus T.,2.0,4,Latency issue from TKT-005 returned. Getting 8-12 second response times.,Identified peak load period. Suggested off-peak scheduling for batch jobs. Monitoring added.
TKT-012,2024-01-11,CUST-7743,Model Output,Context Window,,Resolved,Tom W.,3.0,3,"Model seems to forget earlier parts of long conversations. By message 15-20 it's lost context from the beginning.",Explained context window limits. Recommended conversation summarisation pattern.
TKT-013,2024-01-14,CUST-2891,Integration,Authentication,High,Resolved,Sarah J.,1.0,5,API keys stopped working after we rotated them,Key rotation process explained. New keys working.
TKT-014,2024-01-14,CUST-8801,Model Output,Hallucination,,Open,,,,Model making up customer names and order numbers in our CRM integration.,
TKT-015,2024-01-15,CUST-5502,Performance,Throughput,Medium,Resolved,Marcus T.,4.0,3,"Need to process 10,000 documents per hour but max we can get is 3,200","Explained parallelisation options. Customer needs to upgrade plan for higher concurrency limits."
