ticket_id,date_submitted,customer_id,suggested_priority,priority_source,suggested_category,suggested_subcategory,category_source,recurrence_flag,linked_tickets,explanation
TKT-001,2024-01-03,CUST-4421,High,original,Model Output,Hallucination,original,no,,TKT-001 [2024-01-03] | CUST-4421 | Priority: High | Category: Model Output / Hallucination | Status: Resolved | No prior history from this customer
TKT-002,2024-01-04,CUST-2891,High,inferred,Integration,API Timeout,original,no,,TKT-002 [2024-01-04] | CUST-2891 | Priority: High | Category: Integration / API Timeout | Status: Resolved | No prior history from this customer
TKT-003,2024-01-04,CUST-3310,Low,original,Billing,Overage Charges,original,no,,TKT-003 [2024-01-04] | CUST-3310 | Priority: Low | Category: Billing / Overage Charges | Status: Resolved | No prior history from this customer
TKT-004,2024-01-05,CUST-4421,High,original,Model Output,Inconsistency,original,no,,TKT-004 [2024-01-05] | CUST-4421 | Priority: High | Category: Model Output / Inconsistency | Status: Resolved | No prior history from this customer
TKT-005,2024-01-07,CUST-1155,Medium,original,Performance,Latency,original,no,,TKT-005 [2024-01-07] | CUST-1155 | Priority: Medium | Category: Performance / Latency | Status: Resolved | No prior history from this customer
TKT-006,2024-01-08,CUST-5502,High,inferred,Integration,API Error,inferred,no,,TKT-006 [2024-01-08] | CUST-5502 | Priority: High | Category: Integration / API Error | Status: Open | No prior history from this customer
TKT-007,2024-01-08,CUST-2234,High,original,Model Output,Bias,original,no,,TKT-007 [2024-01-08] | CUST-2234 | Priority: High | Category: Model Output / Bias | Status: Escalated | No prior history from this customer
TKT-008,2024-01-09,CUST-6671,Low,original,Integration,Webhook,original,no,,TKT-008 [2024-01-09] | CUST-6671 | Priority: Low | Category: Integration / Webhook | Status: Resolved | No prior history from this customer
TKT-009,2024-01-10,CUST-3310,High,original,Model Output,Hallucination,original,no,,TKT-009 [2024-01-10] | CUST-3310 | Priority: High | Category: Model Output / Hallucination | Status: Resolved | No prior history from this customer
TKT-010,2024-01-10,CUST-4892,Low,original,Billing,Invoice,inferred,no,,TKT-010 [2024-01-10] | CUST-4892 | Priority: Low | Category: Billing / Invoice | Status: Resolved | No prior history from this customer
TKT-011,2024-01-11,CUST-1155,Medium,original,Performance,Latency,original,yes,TKT-005,TKT-011 [2024-01-11] | CUST-1155 | Priority: Medium | Category: Performance / Latency | Status: Resolved | Recurrence: 1 prior ticket from this customer (linked: TKT-005)
TKT-012,2024-01-11,CUST-7743,Medium,inferred,Model Output,Context Window,original,no,,TKT-012 [2024-01-11] | CUST-7743 | Priority: Medium | Category: Model Output / Context Window | Status: Resolved | No prior history from this customer
TKT-013,2024-01-14,CUST-2891,High,original,Integration,Authentication,original,no,,TKT-013 [2024-01-14] | CUST-2891 | Priority: High | Category: Integration / Authentication | Status: Resolved | No prior history from this customer
TKT-014,2024-01-14,CUST-8801,High,inferred,Model Output,Hallucination,original,no,,TKT-014 [2024-01-14] | CUST-8801 | Priority: High | Category: Model Output / Hallucination | Status: Open | No prior history from this customer
TKT-015,2024-01-15,CUST-5502,Medium,original,Performance,Throughput,original,no,,TKT-015 [2024-01-15] | CUST-5502 | Priority: Medium | Category: Performance / Throughput | Status: Resolved | No prior history from this customer
TKT-016,2024-01-15,CUST-3344,Low,original,Integration,API Error,original,no,,TKT-016 [2024-01-15] | CUST-3344 | Priority: Low | Category: Integration / API Error | Status: Resolved | No prior history from this customer
TKT-017,2024-01-16,CUST-4421,High,original,Safety,Content Filter,original,no,,TKT-017 [2024-01-16] | CUST-4421 | Priority: High | Category: Safety / Content Filter | Status: Escalated | No prior history from this customer
